date,brazilian_music_total_streams
2017-12-24,4569620.0
2017-12-31,6126454.0
2018-01-07,13962369.0
2018-01-14,6550352.0
2018-01-21,6950132.0
2018-01-28,7347429.0
2018-02-04,7524726.0
2018-02-11,7485422.0
2018-02-18,7193148.0
2018-02-25,6898051.0
2018-03-04,6813455.0
2018-03-11,7057016.0
2018-03-18,6758643.0
2018-03-25,6545836.0
2018-04-01,6644387.0
2018-04-08,6218715.0
2018-04-15,6055853.0
2018-04-22,6095849.0
2018-04-29,5689942.0
2018-05-06,5076380.0
2018-05-13,4713723.0
2018-06-10,4289412.0
2018-06-17,4421969.0
2018-06-24,4235913.0
2018-07-01,4212014.0
2018-07-08,4136344.0
2018-07-15,4205826.0
2018-07-22,4206628.0
2018-07-29,3838693.0
2018-09-23,4034540.0
2018-09-30,4276484.0
2018-11-04,4458757.0
2018-11-11,4522990.0
2018-11-18,4624246.0
2018-11-25,4157396.0
2018-12-09,4732781.0
2018-12-30,5256265.0
2019-01-06,19175615.0
2019-01-13,4658627.0
2019-01-20,4919421.0
2019-01-27,4573764.0
2019-02-03,4382407.0
2019-06-02,4420338.0
2019-12-22,5806140.0
2019-12-29,6574989.0
2020-01-05,11197123.0
2020-01-12,5884589.0
2020-01-19,6774224.0
2020-01-26,6736976.0
2020-02-02,6442626.0
2020-02-09,6119960.0
2020-02-16,5730424.0
2020-02-23,5676336.0
2020-03-01,5430476.0
2020-03-22,4730891.0
2020-06-07,4616202.0
2020-06-14,5177117.0
2020-06-21,4645714.0
2020-06-28,4396629.0
2020-08-02,4796208.0
2020-08-09,5976682.0
2020-08-16,6110808.0
2020-08-23,6208598.0
2020-08-30,10950405.0
2020-09-06,11234479.0
2020-09-13,10960434.0
2020-09-20,5684833.0
2020-09-27,5220524.0
2020-10-04,5456493.0
2020-10-11,4994345.0
2020-10-18,4751064.0
2021-01-03,16736641.0
2021-01-10,10147640.0
2021-01-17,5516991.0
2021-01-24,5356326.0
2021-01-31,5461918.0
2021-02-07,10561159.0
2021-02-14,5353456.0
2021-02-21,10855216.0
2021-02-28,11165209.0
2021-03-07,11234634.0
2021-03-14,16971276.0
2021-03-21,27027764.0
2021-03-28,26871407.0
2021-04-04,32239412.0
2021-04-11,27215511.0
2021-04-18,28133036.0
2021-04-25,45669846.0
2021-05-02,39446473.0
2021-05-09,34534840.0
2021-05-16,50624165.0
2021-05-23,40428841.0
2021-05-30,38344995.0
2021-06-06,38029586.0
2021-06-13,25367613.0
2021-06-20,29278260.0
2021-06-27,22695361.0
2021-07-04,33161029.0
2021-07-11,46782187.0
2021-07-18,52644328.0
2021-07-25,43212084.0
2021-08-01,43728012.0
2021-08-08,36366737.0
2021-08-15,43243450.0
2021-08-22,43592685.0
2021-08-29,55281553.0
2021-09-05,44981300.0
2021-09-12,61069237.0
2021-09-19,49299927.0
2021-09-26,37957218.0
2021-10-03,35876498.0
2021-10-10,28135597.0
2021-10-17,36088810.0
2021-10-24,23641716.0
2021-10-31,18477786.0
2021-11-07,18462935.0
2021-11-14,26137121.0
2021-11-21,40786304.0
2021-11-28,45742853.0
2021-12-05,44312680.0
2021-12-12,43390845.0
2021-12-19,38134301.0
2021-12-26,46657814.0
2022-01-02,58647033.0
2022-01-09,53464033.0
2022-01-16,18346586.0
2022-01-23,31559343.0
2022-01-30,26464571.0
2022-02-06,18849337.0
2022-02-13,19580905.0
2022-02-20,20270884.0
2022-02-27,19245895.0
2022-03-06,38187721.0
2022-03-13,12735098.0
2022-03-20,12160124.0
2022-03-27,17259503.0
2022-04-03,17232401.0
2022-04-10,5300930.0
2022-04-17,11370720.0
2022-04-24,11076301.0
2022-05-01,6103163.0
2022-05-08,5983121.0
2022-05-15,5665000.0
2022-05-29,11808082.0
2022-06-05,5926545.0
2022-06-19,5625333.0
2022-07-03,6832379.0
2022-07-10,11611963.0
2022-07-17,12066326.0
2022-07-24,19254309.0
2022-07-31,25708607.0
2022-08-07,12579215.0
2022-08-14,5975947.0
2022-08-21,6195778.0
2022-08-28,6047585.0
2022-09-04,6180567.0
2022-09-11,12068580.0
2022-09-18,5911126.0
2022-09-25,6149133.0
2022-10-09,5932737.0
2022-10-16,13193235.0
2022-10-23,13696173.0
2022-10-30,7908889.0
2022-11-06,7490197.0
2022-11-13,7494295.0
2022-11-20,23193052.0
2022-11-27,15372872.0
2022-12-04,14508273.0
2022-12-11,22268003.0
2022-12-18,24244749.0
2022-12-25,23873831.0
2023-01-01,26515063.0
2023-01-08,32057758.0
2023-01-15,22693468.0
2023-01-22,16820551.0
2023-01-29,23968786.0
2023-02-05,16046560.0
2023-02-12,31144111.0
2023-02-19,26279022.0
2023-02-26,33574551.0
2023-03-05,27190316.0
2023-03-12,29395907.0
2023-03-19,18700630.0
2023-03-26,18885960.0
2023-04-02,28621941.0
2023-04-09,26686584.0
2023-04-16,9682219.0
2023-04-23,9403225.0
2023-04-30,9512363.0
2023-05-07,18281109.0
2023-05-14,17784882.0
2023-05-21,19545671.0
2023-05-28,18724641.0
2023-06-04,17482990.0
2023-06-11,27011534.0
2023-06-18,17200290.0
2023-06-25,16772198.0
2023-07-02,17408988.0
2023-07-09,26032527.0
2023-07-16,18301158.0
2023-07-23,17301581.0
2023-07-30,24215233.0
2023-08-06,24332827.0
2023-08-13,16680945.0
2023-08-20,24798166.0
2023-08-27,16728562.0
2023-09-03,8020247.0
2023-09-10,15614775.0
2023-09-24,17902719.0
2023-10-01,10393871.0
2023-10-08,10008896.0
2023-10-15,9806010.0
2023-10-22,8998967.0
2023-10-29,9986277.0
2023-11-05,19851629.0
2023-11-12,18722655.0
2023-11-19,26998847.0
2023-11-26,9569541.0
2023-12-03,9274339.0
2023-12-10,9498774.0
2023-12-17,9019770.0
2023-12-24,9208991.0
2023-12-31,20062275.0
2024-01-07,31313521.0
2024-01-14,28248956.0
2024-01-21,10320412.0
2024-02-04,8443310.0
2024-02-18,10683040.0
2024-04-21,9013072.0
2024-04-28,19162321.0
2024-05-05,20320385.0
2024-05-12,9913177.0
2024-08-18,12435482.0
2024-08-25,12569024.0
2024-09-01,9474929.0
2024-09-08,9164238.0
2024-11-24,9153023.0
2024-12-01,9924254.0
2024-12-08,11648927.0
2024-12-15,19354848.0
2024-12-29,21396696.0
2025-01-05,44323524.0
2025-01-12,12634083.0
2025-01-19,11925315.0
2025-01-26,21592284.0
2025-02-02,19550859.0
2025-02-09,9774217.0
2025-02-16,9836526.0
2025-02-23,8998635.0
2025-03-02,17322497.0
2025-03-09,17942720.0
2025-03-16,8301498.0
