date,chill_out_trip-hop_lounge_total_streams
2019-11-17,4508738.0
2019-11-24,4552432.0
2019-12-01,4757977.0
2019-12-08,5030448.0
2019-12-22,5368278.0
2020-01-05,5034157.0
2020-01-12,5476249.0
2020-01-19,5804236.0
2020-01-26,5802085.0
2020-02-02,5620187.0
2020-02-09,5587653.0
2020-02-16,5614273.0
2020-02-23,5428036.0
2020-03-01,5277324.0
2020-03-08,5330081.0
2020-03-15,5307209.0
2020-03-22,5314606.0
2020-03-29,5415961.0
2020-04-05,5571734.0
2020-04-12,5385627.0
2020-04-19,5168130.0
2020-04-26,4942728.0
2020-05-03,4761700.0
2020-05-10,4603208.0
2020-05-17,4472823.0
2020-05-24,4397385.0
