date,classical_total_streams
2017-01-01,8627107.0
2017-05-28,4733356.0
2017-06-04,4903079.0
2017-06-11,4780582.0
2017-06-18,4784930.0
2017-06-25,4607437.0
2017-07-02,4150208.0
2017-07-09,4197377.0
2017-07-16,4173024.0
2017-07-23,4024888.0
2017-07-30,3704330.0
2017-08-06,3603311.0
2017-08-13,3447681.0
2017-08-20,3231897.0
2017-08-27,3040202.0
2017-12-10,4780300.0
2017-12-17,9325771.0
2017-12-24,10153047.0
2017-12-31,15275700.0
2018-09-30,5912403.0
2018-10-07,6931796.0
2018-10-14,9727372.0
2018-10-21,11984224.0
2018-10-28,12483237.0
2018-11-04,12301571.0
2018-11-11,11987796.0
2018-11-18,12318260.0
2018-11-25,12110371.0
2018-12-02,11752247.0
2018-12-09,23014249.0
2018-12-16,22977352.0
2018-12-23,29541534.0
2018-12-30,54296782.0
2019-01-06,7134140.0
2019-01-13,7667156.0
2019-01-20,7658132.0
2019-01-27,7475195.0
2019-02-03,7096857.0
2019-02-10,6872359.0
2019-02-17,6888427.0
2019-02-24,6526401.0
2019-03-03,6070746.0
2019-03-10,5688966.0
2019-03-17,5482187.0
2019-03-24,5191109.0
2019-03-31,5074361.0
2019-04-07,4747231.0
2019-10-20,4489230.0
2019-10-27,4496204.0
2019-11-03,4892168.0
2019-11-10,5012906.0
2019-11-17,4654389.0
2019-12-08,13199463.0
2019-12-15,15093136.0
2019-12-22,17553899.0
2019-12-29,49844238.0
2020-11-29,12222840.0
2020-12-06,22839537.0
2020-12-13,27808755.0
2020-12-20,28504891.0
2020-12-27,64149362.0
2021-01-03,22549345.0
2021-12-05,18292715.0
2021-12-12,24194005.0
2021-12-19,27254487.0
2021-12-26,50105345.0
2022-01-02,50381868.0
2022-11-27,8712748.0
2022-12-04,25011341.0
2022-12-11,34632546.0
2022-12-18,41742372.0
2022-12-25,59715028.0
2023-01-01,93908248.0
2023-04-23,26883237.0
2023-04-30,32418390.0
2023-05-07,28822961.0
2023-05-14,27873476.0
2023-05-21,28376831.0
2023-05-28,27203441.0
2023-06-04,25508641.0
2023-06-11,24946486.0
2023-06-18,23959663.0
2023-06-25,23631247.0
2023-07-02,24073384.0
2023-07-09,23154950.0
2023-07-16,22629427.0
2023-07-23,22128452.0
2023-07-30,29589267.0
2023-08-06,20993036.0
2023-08-13,20384894.0
2023-08-20,19860739.0
2023-08-27,20172371.0
2023-09-03,20127894.0
2023-09-10,19297187.0
2023-09-17,19527761.0
2023-09-24,19214620.0
2023-10-01,19961989.0
2023-10-08,18546391.0
2023-10-15,17734911.0
2023-10-22,17345356.0
2023-10-29,17485029.0
2023-11-05,16462358.0
2023-11-12,16375519.0
2023-11-19,16444084.0
2023-11-26,25874486.0
2023-12-03,45768627.0
2023-12-10,62948825.0
2023-12-17,61949246.0
2023-12-24,70825575.0
2023-12-31,124008367.0
2024-01-07,15455473.0
2024-01-14,15821912.0
2024-01-21,16186886.0
2024-01-28,15492550.0
2024-02-04,15721318.0
2024-02-11,15473208.0
2024-02-18,14677771.0
2024-02-25,14826677.0
2024-03-03,15059139.0
2024-03-10,14948807.0
2024-03-17,13854604.0
2024-03-24,13801935.0
2024-03-31,13350568.0
2024-04-07,11724275.0
2024-04-14,12535569.0
2024-04-21,11925355.0
2024-04-28,11315573.0
2024-05-05,10966625.0
2024-05-12,10483974.0
2024-05-19,10435506.0
2024-05-26,10446334.0
2024-06-02,10352290.0
2024-06-09,9963027.0
2024-06-16,10163735.0
2024-06-23,9788393.0
2024-06-30,9254520.0
2024-07-07,9575501.0
2024-07-14,9897080.0
2024-07-21,9149757.0
2024-07-28,9059864.0
2024-08-04,9016261.0
2024-08-11,9191033.0
2024-08-18,9274498.0
2024-08-25,8722737.0
2024-09-01,8908688.0
2024-11-24,10613652.0
2024-12-01,36410435.0
2024-12-08,59233595.0
2024-12-15,75049000.0
2024-12-22,81721844.0
2024-12-29,147499435.0
