date,hard_rock_total_streams
2018-11-04,4699023.0
2019-02-17,4878588.0
2019-11-03,4660169.0
2020-11-08,5096618.0
2021-05-30,6277641.0
2021-11-07,5548719.0
2022-04-03,5764832.0
2022-11-13,6881222.0
2022-11-20,7878280.0
2022-11-27,8540566.0
2022-12-04,8340213.0
2022-12-11,7875315.0
2022-12-18,7721358.0
2022-12-25,7796270.0
2023-01-08,7386665.0
2023-01-15,7465649.0
2023-02-05,7590264.0
2024-03-24,8570247.0
2024-04-14,8677413.0
2024-04-21,8630944.0
2024-05-05,8941534.0
2024-05-19,9049662.0
2024-05-26,9130730.0
2024-06-02,9752965.0
2024-06-09,9528407.0
2024-06-16,9431715.0
2024-06-23,18365372.0
2024-06-30,18358006.0
2024-07-07,26836263.0
2024-07-14,25867975.0
2024-07-21,27777879.0
2024-07-28,27537854.0
2024-08-04,16962186.0
2024-08-11,8903836.0
2024-08-18,9404866.0
2024-08-25,9863584.0
2024-09-01,9010267.0
2024-09-08,9406478.0
2024-09-15,9686823.0
2024-11-03,9166878.0
2024-11-10,9168182.0
2024-11-17,8754067.0
