date,indie_pop_folk_total_streams
2018-04-15,7384296.0
2018-04-22,11408425.0
2018-04-29,10632520.0
2018-05-06,4688527.0
2018-05-13,22793319.0
2018-05-20,18234594.0
2018-05-27,12113732.0
2018-06-03,5875345.0
2018-06-10,5827513.0
2018-06-17,4888681.0
2018-06-24,4026113.0
2018-10-21,3950998.0
2018-10-28,4671543.0
2018-11-04,4267523.0
2018-11-11,4963987.0
2018-11-18,4472423.0
2019-02-17,4878588.0
2019-04-21,7101558.0
2019-04-28,6655697.0
2019-05-05,6885971.0
2019-05-12,34681146.0
2019-05-19,36003213.0
2019-05-26,31788834.0
2019-06-02,32065644.0
2019-06-09,29605998.0
2019-06-16,26180038.0
2019-06-23,24885087.0
2019-06-30,24285786.0
2019-07-07,22586480.0
2019-07-14,15480398.0
2019-07-21,14615671.0
2019-07-28,13712369.0
2019-08-04,13101219.0
2019-08-11,12994956.0
2019-08-18,12272947.0
2019-08-25,11435438.0
2019-09-01,9160209.0
2019-09-08,8988377.0
2019-09-15,8445093.0
2019-09-22,8158364.0
2019-09-29,8015197.0
2019-10-06,7626363.0
2019-10-13,7160206.0
2019-10-20,33432667.0
2019-10-27,26781237.0
2019-11-03,24271544.0
2019-11-10,21578466.0
2019-11-17,19925301.0
2019-11-24,22507688.0
2019-12-01,19788741.0
2019-12-08,16542953.0
2019-12-15,15819053.0
2019-12-22,21519260.0
2019-12-29,9674765.0
2020-01-05,13464436.0
2020-01-12,13375321.0
2020-01-19,12877708.0
2020-01-26,12143278.0
2020-02-02,11745250.0
2020-02-09,11507112.0
2020-02-16,11071317.0
2020-02-23,10884113.0
2020-03-01,10644015.0
2020-03-08,5788003.0
2020-03-15,5396798.0
2020-03-22,5072145.0
2020-03-29,9620697.0
2020-04-05,4772728.0
2020-04-12,9148315.0
2020-04-19,8900601.0
2020-04-26,8862063.0
2020-05-03,8697574.0
2020-05-10,4385384.0
2020-05-17,4316119.0
2020-05-24,15983232.0
2020-05-31,14405876.0
2020-06-07,18361261.0
2020-06-14,19846142.0
2020-06-21,15976075.0
2020-06-28,15341788.0
2020-07-05,14898717.0
2020-07-12,9557505.0
2020-07-19,8850868.0
2020-07-26,8397095.0
2020-08-02,7543968.0
2020-08-09,14352705.0
2020-08-16,13536743.0
2020-08-23,12836932.0
2020-08-30,11150090.0
2020-09-06,5427778.0
2020-09-13,5218173.0
2020-09-20,4988712.0
2020-09-27,4857302.0
2020-10-04,4945767.0
2020-10-18,4649286.0
2020-10-25,4931600.0
2020-11-01,4709053.0
2020-11-22,35380663.0
2020-11-29,30419033.0
2020-12-06,24602518.0
2020-12-13,21602744.0
2020-12-20,19351242.0
2020-12-27,17792094.0
2021-01-03,16037285.0
2021-01-10,15928423.0
2021-01-17,82531726.0
2021-01-24,96286980.0
2021-01-31,79160110.0
2021-02-07,68011747.0
2021-02-14,61051092.0
2021-02-21,54807233.0
2021-02-28,51799841.0
2021-03-07,48296691.0
2021-03-14,45009026.0
2021-03-21,41461200.0
2021-03-28,38651663.0
2021-04-04,35635240.0
2021-04-11,33496578.0
2021-04-18,31582119.0
2021-04-25,29757652.0
2021-05-02,28358610.0
2021-05-09,27050801.0
2021-05-16,25883702.0
2021-05-23,38339630.0
2021-05-30,87141278.0
2021-06-06,76273272.0
2021-06-13,72249459.0
2021-06-20,64937604.0
2021-06-27,56199060.0
2021-07-04,52736058.0
2021-07-11,51088696.0
2021-07-18,47094487.0
2021-07-25,43828242.0
2021-08-01,40376054.0
2021-08-08,46014792.0
2021-08-15,40928555.0
2021-08-22,38391337.0
2021-08-29,31882386.0
2021-09-05,29946948.0
2021-09-12,21650833.0
2021-09-19,21107733.0
2021-09-26,21119200.0
2021-10-03,20351466.0
2021-10-10,20062854.0
2021-10-17,19152420.0
2021-10-24,18161192.0
2021-10-31,17886852.0
2021-11-07,16833746.0
2021-11-14,16638242.0
2021-11-21,23568180.0
2021-11-28,34580784.0
2021-12-05,33973106.0
2021-12-12,52933662.0
2021-12-19,53695026.0
2021-12-26,51016327.0
2022-01-02,46637581.0
2022-01-09,48106677.0
2022-01-16,48992695.0
2022-01-23,47448739.0
2022-01-30,46169455.0
2022-02-06,45414246.0
2022-02-13,44052066.0
2022-02-20,42323070.0
2022-02-27,40246204.0
2022-03-06,38549219.0
2022-03-13,37122378.0
2022-03-20,36584830.0
2022-03-27,35780922.0
2022-04-03,35500481.0
2022-04-10,35972065.0
2022-04-17,35291637.0
2022-04-24,32754417.0
2022-05-01,32606723.0
2022-05-08,31222833.0
2022-05-15,28975116.0
2022-05-22,28004838.0
2022-05-29,27204719.0
2022-06-05,26088902.0
2022-06-12,25708135.0
2022-06-19,24087599.0
2022-06-26,23253295.0
2022-07-03,22521284.0
2022-07-10,22249537.0
2022-07-17,22015546.0
2022-07-24,21623499.0
2022-07-31,21470536.0
2022-08-07,21284644.0
2022-08-14,21044984.0
2022-08-21,20670970.0
2022-08-28,20402113.0
2022-09-04,20199944.0
2022-09-11,19884979.0
2022-09-18,19937531.0
2022-09-25,7777433.0
2022-10-02,7689175.0
2022-10-09,7245736.0
2022-10-16,7229592.0
2022-10-23,7009174.0
2022-10-30,7090903.0
2022-11-06,6420648.0
2023-01-22,6877569.0
2023-09-17,7812003.0
2023-09-24,7728417.0
2024-01-07,8080073.0
2024-01-14,8285666.0
2024-01-21,8470275.0
2024-01-28,8462844.0
2024-09-08,9639956.0
2024-09-15,9763866.0
2024-09-22,9659537.0
2024-09-29,9383444.0
2024-10-06,9143156.0
2024-11-10,8420283.0
