date,musicals_total_streams
2018-02-25,13554767.0
2018-03-04,17673376.0
2018-03-11,18005810.0
2018-03-18,18294703.0
2018-03-25,18582900.0
2018-04-01,19875102.0
2018-04-08,19280198.0
2018-04-15,19351196.0
2018-04-22,20042219.0
2018-04-29,19267646.0
2018-05-06,17103013.0
2018-05-13,16988542.0
2018-05-20,15711995.0
2018-05-27,15714429.0
2018-06-03,15070323.0
2018-06-10,13449764.0
2018-06-17,13091387.0
2018-06-24,10878922.0
2018-07-01,8671351.0
2018-07-08,7473790.0
2018-07-15,7664804.0
2018-07-22,7427269.0
2018-07-29,7166405.0
2018-08-05,6657846.0
2018-08-12,6205313.0
2018-08-19,6162725.0
2018-08-26,5948824.0
2018-09-02,5926883.0
2018-09-09,5885428.0
2018-09-16,5971814.0
2018-09-23,5938437.0
2018-09-30,5991703.0
2018-10-07,5929061.0
2018-10-14,5833211.0
2018-10-21,5689046.0
2018-10-28,5875729.0
2018-11-04,5401270.0
2018-11-11,5271906.0
2018-11-18,5084231.0
2018-11-25,4862187.0
2018-12-02,4486276.0
2018-12-16,5249887.0
2018-12-23,4795250.0
2019-01-06,4863267.0
2019-01-13,5046447.0
2019-01-20,5300878.0
2019-01-27,4940975.0
2019-02-03,4814786.0
2019-02-10,4653028.0
2019-04-28,12087846.0
2019-05-05,9734321.0
2019-05-12,7870607.0
2019-05-19,6798174.0
2019-05-26,5369303.0
2020-08-16,4671405.0
2020-08-23,6583559.0
2020-08-30,7669106.0
2020-09-06,9488078.0
2020-09-13,9434668.0
2020-09-20,8910417.0
2020-09-27,8368162.0
2020-10-04,7787190.0
2020-10-11,7157184.0
2020-10-18,6696357.0
2020-10-25,6655033.0
2020-11-01,5579410.0
2020-11-08,5067223.0
2020-11-15,5002789.0
2020-11-22,4926802.0
2022-02-13,11196905.0
2022-02-20,17016851.0
2022-02-27,16728153.0
2022-03-06,16950852.0
2022-03-13,16424085.0
