date,reggae_total_streams
2017-01-01,2962885.0
2017-01-08,3013428.0
2017-01-15,2806279.0
2017-01-22,2974670.0
2017-01-29,3130383.0
2017-02-05,3441387.0
2017-02-12,3933234.0
2017-02-19,3986918.0
2017-02-26,4057915.0
2017-03-05,4057410.0
2017-03-12,4020782.0
2017-03-19,3925203.0
2017-03-26,3769274.0
2017-04-02,3732117.0
2017-04-09,3623050.0
2017-08-06,3917416.0
2017-08-13,4892801.0
2017-08-20,5760081.0
2017-08-27,6458442.0
2017-09-03,7181439.0
2017-09-10,7983127.0
2017-09-17,8264479.0
2017-09-24,8293107.0
2017-10-01,9071831.0
2017-10-08,8924855.0
2017-10-15,9179323.0
2017-10-22,9984875.0
2017-10-29,10218003.0
2017-11-05,10126403.0
2017-11-12,9844788.0
2017-11-19,10392546.0
2017-11-26,10343195.0
2017-12-03,9856021.0
2017-12-10,9712552.0
2017-12-17,9146981.0
2017-12-24,9138757.0
2017-12-31,9158897.0
2018-01-07,9523877.0
2018-01-14,8747519.0
2018-01-21,7960116.0
2018-01-28,7536161.0
2018-02-04,7126381.0
2018-02-11,6741440.0
2018-02-18,6178718.0
2018-02-25,5955012.0
2018-03-04,5728012.0
2018-03-11,22020782.0
2018-03-18,27082373.0
2018-03-25,33586444.0
2018-04-01,39110802.0
2018-04-08,37949805.0
2018-04-15,38320527.0
2018-04-22,35916022.0
2018-04-29,35346581.0
2018-05-06,36678332.0
2018-05-13,36365421.0
2018-05-20,35118587.0
2018-05-27,44443589.0
2018-06-03,42969226.0
2018-06-10,41027170.0
2018-06-17,40324020.0
2018-06-24,34649549.0
2018-07-01,35918181.0
2018-07-08,30644376.5
2018-07-15,30430608.0
2018-07-22,31647440.0
2018-07-29,30889720.5
2018-08-05,29856638.5
2018-08-12,27464985.5
2018-08-19,26032340.5
2018-08-26,19925278.5
2018-09-02,18735790.5
2018-09-09,17934414.0
2018-09-16,16910932.0
2018-09-23,15954881.5
2018-09-30,14724788.0
2018-10-07,13418291.5
2018-10-14,12926116.5
2018-10-21,16707385.0
2018-10-28,16367129.0
2018-11-04,16159245.0
2018-11-11,11138271.0
2018-11-18,11198248.0
2018-11-25,12486957.0
2018-12-02,13605157.0
2018-12-09,14836466.0
2018-12-16,16020609.0
2018-12-23,17616572.0
2018-12-30,14509227.0
2019-01-06,26755855.0
2019-01-13,24909169.0
2019-01-20,31918524.0
2019-01-27,33200361.0
2019-02-03,28150931.0
2019-02-10,27474213.0
2019-02-17,25643019.0
2019-02-24,30912983.0
2019-03-03,35046133.0
2019-03-10,35712395.0
2019-03-17,35791523.0
2019-03-24,35232420.0
2019-03-31,34963253.0
2019-04-07,33622718.0
2019-04-14,32202923.0
2019-04-21,31661670.0
2019-04-28,20707014.0
2019-05-05,20129488.0
2019-05-12,19063119.0
2019-05-19,18712083.0
2019-05-26,18483435.0
2019-06-02,18225481.0
2019-06-09,17692013.0
2019-06-16,16990312.0
2019-06-23,15501579.0
2019-06-30,10527609.0
2019-07-07,10570484.0
2019-07-14,10402992.0
2019-07-21,10145133.0
2019-07-28,9980018.0
2019-08-04,9673932.0
2019-08-11,9299542.0
2019-08-18,17486780.0
2019-08-25,18163221.0
2019-09-01,18736907.0
2019-09-08,20059860.0
2019-09-15,20884349.0
2019-09-22,20834241.0
2019-09-29,19731235.0
2019-10-06,18431173.0
2019-10-13,17472239.0
2019-10-20,16745528.0
2019-10-27,15108501.0
2019-11-03,13971357.0
2019-11-10,13109918.0
2019-11-17,12760088.0
2019-11-24,12693335.0
2019-12-01,11809498.0
2019-12-08,11757184.0
2019-12-15,12885933.0
2019-12-22,12336272.0
2019-12-29,6872649.0
2020-01-05,12143350.0
2020-01-12,11315374.0
2020-01-19,11340187.0
2020-01-26,6327743.0
2020-02-02,5990495.0
2020-02-09,5808533.0
2020-02-16,5280237.0
2020-02-23,5236576.0
2020-03-01,4897181.0
2020-04-26,4830254.0
2020-05-03,4393037.0
2020-08-30,5041870.0
2020-09-06,5183312.0
2020-09-13,4737291.0
2021-06-13,6117766.0
2021-06-20,7417572.0
2021-06-27,7449235.0
2021-07-04,7693045.0
2021-07-11,7695321.0
2021-07-18,7582715.0
2021-07-25,7626630.0
2021-08-01,7381585.0
2021-08-08,7122245.0
2021-08-15,6876910.0
2021-08-22,6756449.0
2021-08-29,6352145.0
2021-09-05,5593786.0
2021-12-19,5892768.0
2021-12-26,7335491.0
2022-01-02,7792833.0
2022-01-09,8352181.0
2022-01-16,10421911.0
2022-01-23,13083857.0
2022-01-30,15483445.0
2022-02-06,18331762.0
2022-02-13,19067860.0
2022-02-20,19390328.0
2022-02-27,19550632.0
2022-03-06,19026134.0
2022-03-13,17879418.0
2022-03-20,17791540.0
2022-03-27,17613574.0
2022-04-03,17344371.0
2022-04-10,16412905.0
2022-04-17,16373173.0
2022-04-24,15207740.0
2022-05-01,20940881.0
2022-05-08,22060758.0
2022-05-15,21393810.0
2022-05-22,20795317.0
2022-05-29,19981673.0
2022-06-05,19249955.0
2022-06-12,27272374.0
2022-06-19,27640912.0
2022-06-26,25795769.0
2022-07-03,24104294.0
2022-07-10,24997175.0
2022-07-17,25004030.0
2022-07-24,23714940.0
2022-07-31,16941134.0
2022-08-07,16094401.0
2022-08-14,15496706.0
2022-08-21,9022552.0
2022-08-28,8878203.0
2022-09-04,8689403.0
2022-09-11,8715702.0
2022-09-18,8450114.0
2022-09-25,7717235.0
2022-10-02,7774161.0
2022-10-09,7446646.0
2022-10-16,7281193.0
2022-10-23,7440098.0
2022-10-30,7693596.0
2022-11-06,7577105.0
2022-11-13,7157525.0
2022-11-20,7283674.0
2022-11-27,6932100.0
2022-12-04,7109692.0
2022-12-11,8355275.0
2023-01-08,7121813.0
2024-02-04,11832641.0
2024-02-11,20623964.0
2024-02-18,22368908.0
2024-02-25,33116248.0
2024-03-03,33576296.0
2024-03-10,21900494.0
2024-03-17,18965395.0
2024-03-24,16431206.0
2024-03-31,15937082.0
2024-04-07,13336182.0
2024-04-14,13022555.0
2024-04-21,13122091.0
2024-04-28,11596226.0
2024-05-05,21917256.0
2024-05-12,20821682.0
2024-05-19,9764190.0
2024-05-26,9368097.0
