date,rock_and_roll_rockabilly_total_streams
2018-01-21,3639673.0
2018-08-05,3752576.0
2018-08-12,3782620.0
2019-07-28,4434897.0
2019-08-04,4453896.0
2019-08-11,4352556.0
2019-08-18,4321061.0
2019-08-25,4291180.0
2020-06-28,4433026.0
2020-07-12,4394985.0
2024-05-12,9044110.0
2024-05-19,9780685.0
2024-05-26,10117044.0
2024-06-02,11171781.0
2024-06-09,11723267.0
2024-06-16,11609128.0
2024-06-23,11225857.0
2024-06-30,10853061.0
2024-07-07,11040138.0
2024-07-14,11464905.0
2024-07-21,11558435.0
2024-07-28,11706527.0
2024-08-04,11388505.0
2024-08-11,10713291.0
2024-08-18,11053523.0
2024-08-25,12141654.0
2024-09-01,11168440.0
2024-09-08,10933603.0
2024-09-15,11350696.0
2024-09-22,20089229.0
2024-09-29,20149059.0
2024-10-06,11394045.0
2024-10-13,11765543.0
2024-10-20,10907849.0
2024-10-27,10743990.0
2024-11-03,10698919.0
2024-11-10,10287780.0
2024-11-17,9601783.0
2024-11-24,9376828.0
2024-12-01,9310489.0
2024-12-22,9355563.0
2024-12-29,9545988.0
2025-01-05,10450354.0
2025-01-12,10620888.0
2025-01-19,10320906.0
2025-01-26,10453054.0
2025-02-02,10224239.0
2025-02-09,10367130.0
2025-02-16,10057946.0
2025-02-23,9086881.0
2025-03-02,9297967.0
2025-03-09,9394853.0
2025-03-16,9420075.0
2025-03-23,9718445.0
