date,soul_and_funk_total_streams
2017-01-01,4054555.0
2017-01-08,5074994.0
2017-01-15,3879621.0
2017-01-22,3091442.0
2017-04-09,6825624.0
2017-04-16,6433993.0
2017-04-23,5303275.0
2017-04-30,4840593.0
2017-05-07,4693737.0
2017-05-14,3250564.0
2017-05-21,9812166.0
2017-05-28,10641464.0
2017-06-04,9779738.0
2017-06-11,8658730.0
2017-06-18,7851950.0
2017-06-25,7829911.0
2017-07-02,7316906.0
2017-07-09,15809948.0
2017-07-16,10221341.0
2017-07-23,8880669.0
2017-07-30,6962962.0
2017-08-06,6489368.0
2017-08-13,6016267.0
2017-08-20,4735827.0
2017-08-27,3963395.0
2017-09-03,3677809.0
2017-09-10,3353542.0
2018-08-26,4027932.0
2018-12-09,4732781.0
2019-01-06,4758607.0
2019-02-10,5915768.0
2019-04-14,4647110.0
2019-04-21,4949308.0
2019-04-28,4579151.0
2019-05-05,4310275.0
2019-12-29,6768688.0
2020-07-05,5518518.0
2020-07-12,6241031.0
2020-07-19,5771545.0
2020-07-26,5507068.0
2020-08-02,10151805.0
2020-08-09,11303026.0
2020-08-16,11082706.0
2020-08-23,10837191.0
2020-08-30,5908535.0
2020-09-06,10536966.0
2020-09-13,10838663.0
2020-09-20,5684833.0
2020-09-27,5220524.0
2020-10-04,5456493.0
2020-10-11,4994345.0
2020-10-18,4751064.0
2020-12-27,6809438.0
2021-01-03,5623237.0
2021-01-10,4848222.0
2021-05-16,5854299.0
2021-05-23,6823531.0
2021-05-30,6329047.0
2021-06-06,11105278.0
2021-06-13,5598184.0
2021-06-20,5155238.0
2021-07-04,5298363.0
2021-07-11,5418911.0
2021-07-18,5670628.0
2021-07-25,5305828.0
2021-08-01,4978559.0
2021-09-19,6036598.0
2021-09-26,6452194.0
2021-10-03,6392025.0
2021-10-10,5758047.0
2021-10-17,5998113.0
2021-10-24,5585273.0
2021-10-31,5577311.0
2021-11-07,11401548.0
2021-11-14,6192843.0
2021-11-21,12958699.0
2021-11-28,11963891.0
2021-12-05,5940363.0
2021-12-12,5752760.0
2021-12-19,6026519.0
2021-12-26,5933571.0
2022-01-02,6259045.0
2022-01-09,11322405.0
2022-01-16,5479072.0
2022-01-23,6033803.0
2022-01-30,6507299.0
2022-02-06,5464169.0
2022-03-06,6882424.0
2022-03-27,6529230.0
2022-04-03,9211193.0
2022-04-10,7451423.0
2022-04-17,7281568.0
2022-04-24,6684093.0
2022-05-01,6403310.0
2022-05-08,5974662.0
2022-05-15,5600041.0
2022-07-10,12076931.0
2022-07-17,12680490.0
2022-07-24,19421956.0
2022-07-31,13919970.0
2022-08-07,12579215.0
2022-08-14,5975947.0
2022-08-21,6195778.0
2022-08-28,6047585.0
2022-09-04,6180567.0
2022-09-11,12068580.0
2022-09-18,5911126.0
2022-09-25,6149133.0
2022-10-09,5932737.0
2022-10-16,6229632.0
2022-10-23,6149982.0
2022-11-20,8536625.0
2022-11-27,10412256.0
2022-12-04,10003997.0
2022-12-11,9741120.0
2022-12-18,10096557.0
2022-12-25,9638068.0
2023-01-01,18343387.0
2023-01-08,18331873.0
2023-01-15,25533288.0
2023-01-22,17730392.0
2023-01-29,18231316.0
2023-02-05,10826089.0
2023-02-12,10666163.0
2023-02-19,9482970.0
2023-02-26,8980016.0
2023-03-05,9015777.0
2023-03-12,16099729.0
2023-03-19,16837536.0
2023-03-26,16491779.0
2023-04-02,8170161.0
2023-04-09,7799091.0
2023-04-16,7596769.0
2023-04-23,7889902.0
2023-04-30,8346792.0
2023-05-07,8047566.0
2023-05-14,8385149.0
2023-05-21,8040791.0
2023-05-28,8239045.0
2023-06-04,8037998.0
2023-06-11,7853183.0
2023-06-18,8116350.0
2023-06-25,7971955.0
2023-08-06,8321727.0
2023-08-13,28107427.0
2023-08-20,29531456.0
2023-08-27,29949014.0
2023-09-03,28227306.0
2023-09-10,28942201.0
2023-09-17,27377938.0
2023-09-24,26870416.0
2023-10-01,25845322.0
2023-10-08,16630581.0
2023-10-15,16409944.0
2023-10-22,8316196.0
2023-10-29,8632110.0
2023-11-05,18345542.0
2023-11-12,17519938.0
2023-11-19,17118908.0
2023-11-26,8721628.0
2023-12-03,9063839.0
2023-12-10,10240762.0
2023-12-17,9020470.0
2023-12-24,8865903.0
2023-12-31,13293503.0
2024-01-07,17586869.0
2024-01-14,19080993.0
2024-01-21,8864634.0
2024-01-28,9075322.0
2024-02-04,9195067.0
2024-02-11,9260466.0
2024-02-18,8749291.0
2024-02-25,8568778.0
2024-03-10,8391351.0
2024-04-21,9013072.0
2024-04-28,9323328.0
2024-05-05,21097331.0
2024-05-12,21453556.0
2024-05-19,10006174.0
2024-05-26,9017418.0
2024-06-02,8971549.0
2024-06-16,9261822.0
2024-06-23,9709174.0
2024-11-24,9153023.0
2024-12-01,9924254.0
2024-12-08,11648927.0
2024-12-15,9996703.0
2024-12-29,22943401.0
2025-01-05,14543305.0
2025-01-12,12634083.0
2025-01-19,11925315.0
2025-01-26,10711540.0
2025-02-02,9009899.0
2025-02-09,9774217.0
2025-02-16,9836526.0
2025-02-23,8998635.0
2025-03-02,8881598.0
2025-03-09,8640952.0
