date,techno_house_total_streams
2017-01-01,30247662.0
2017-01-08,33623519.0
2017-01-15,32288121.0
2017-01-22,32106363.0
2017-01-29,30714119.0
2017-02-05,43341226.0
2017-02-12,46472691.0
2017-02-19,47276557.0
2017-02-26,47492400.0
2017-03-05,63527530.0
2017-03-12,61296990.0
2017-03-19,66437955.0
2017-03-26,64068885.0
2017-04-02,61021100.0
2017-04-09,60646874.0
2017-04-16,60542801.0
2017-04-23,73334746.0
2017-04-30,68433995.0
2017-05-07,70152230.0
2017-05-14,70472815.0
2017-05-21,68720614.0
2017-05-28,65395074.0
2017-06-04,79174915.0
2017-06-11,79588090.0
2017-06-18,83182279.0
2017-06-25,97313686.0
2017-07-02,93477807.0
2017-07-09,104509506.0
2017-07-16,104715316.0
2017-07-23,103590646.0
2017-07-30,100503996.0
2017-08-06,101221138.0
2017-08-13,98712355.0
2017-08-20,95300305.0
2017-08-27,91271425.0
2017-09-03,82277625.0
2017-09-10,81063171.0
2017-09-17,75209060.0
2017-09-24,65194468.0
2017-10-01,61757988.0
2017-10-08,46475707.0
2017-10-15,42260002.0
2017-10-22,39721518.0
2017-10-29,45225287.0
2017-11-05,37484037.0
2017-11-12,35482257.0
2017-11-19,28975560.0
2017-11-26,30599686.0
2017-12-03,28758526.0
2017-12-10,32001982.0
2017-12-17,31895201.0
2017-12-24,23070054.0
2017-12-31,21266614.0
2018-01-07,37725372.0
2018-01-14,32672880.0
2018-01-21,27642803.0
2018-01-28,26798621.0
2018-02-04,31494561.0
2018-02-11,23858658.0
2018-02-18,19061169.0
2018-02-25,22615830.0
2018-03-04,21761859.0
2018-03-11,20162827.0
2018-03-18,12264875.0
2018-03-25,19958239.0
2018-04-01,20450840.0
2018-04-08,19654586.0
2018-04-15,20772064.0
2018-04-22,21850341.0
2018-04-29,17458489.0
2018-05-06,17017045.0
2018-05-13,17891189.0
2018-05-20,16735360.0
2018-05-27,16395983.0
2018-06-03,15380088.0
2018-06-10,15122612.0
2018-06-17,14314406.0
2018-06-24,26107322.0
2018-07-01,27411184.0
2018-07-08,26425515.0
2018-07-15,28474285.0
2018-07-22,28817581.0
2018-07-29,24934821.0
2018-08-05,28856187.0
2018-08-12,28873090.0
2018-08-19,26818914.0
2018-08-26,24722922.0
2018-09-02,24378108.0
2018-09-09,23428830.0
2018-09-16,22624948.0
2018-09-23,22006302.0
2018-09-30,21203342.0
2018-10-07,16632175.0
2018-10-14,16234501.0
2018-10-21,19566324.0
2018-10-28,15387206.0
2018-11-04,22219813.0
2018-11-11,17609554.0
2018-11-18,18840490.0
2018-11-25,19966919.0
2018-12-02,14735767.0
2018-12-09,9436071.0
2018-12-16,7644570.0
2018-12-23,7472634.0
2018-12-30,6662574.0
2019-01-06,7115456.0
2019-01-13,11606733.0
2019-01-20,6186566.0
2019-01-27,5853211.0
2019-02-03,5887566.0
2019-02-10,5711661.0
2019-02-17,5579489.0
2019-02-24,14620563.0
2019-03-03,19038670.0
2019-03-10,20776016.0
2019-03-17,21067375.0
2019-03-24,16815586.0
2019-03-31,21409018.0
2019-04-07,21777097.0
2019-04-14,16601540.0
2019-04-21,17477814.0
2019-04-28,25314590.0
2019-05-05,30967319.0
2019-05-12,34507817.0
2019-05-19,43851687.0
2019-05-26,35747770.0
2019-06-02,46789468.0
2019-06-09,42727624.0
2019-06-16,39353396.0
2019-06-23,37367330.0
2019-06-30,36703360.0
2019-07-07,31912634.0
2019-07-14,35250792.0
2019-07-21,33189899.0
2019-07-28,32194707.0
2019-08-04,27783442.0
2019-08-11,28395711.0
2019-08-18,27344712.0
2019-08-25,26904368.0
2019-09-01,25494533.0
2019-09-08,20195593.0
2019-09-15,18360069.0
2019-09-22,17758756.0
2019-09-29,16819047.0
2019-10-06,15970443.0
2019-10-13,10508915.0
2019-10-20,10212511.0
2019-10-27,5183597.0
2019-11-03,4778612.0
2019-11-10,6117970.0
2019-11-17,6419416.0
2019-11-24,6425845.0
2019-12-01,5826059.0
2019-12-08,5379962.0
2020-01-05,4955994.0
2020-01-12,6555359.0
2020-01-19,6740195.0
2020-01-26,7047512.0
2020-02-02,7255585.0
2020-02-09,7327150.0
2020-02-16,7524185.0
2020-02-23,7342972.0
2020-03-01,7396697.0
2020-03-08,12425377.0
2020-03-15,5888189.0
2020-03-22,5455709.0
2020-03-29,5143229.0
2020-04-05,4855108.0
2020-04-12,4839355.0
2020-04-19,4427930.0
2020-04-26,4469282.0
2020-05-03,4395061.0
2020-07-26,7612760.0
2020-08-02,5505641.0
2020-08-09,5440936.0
2020-08-16,5480282.0
2020-08-23,5365415.0
2020-08-30,4980849.0
2020-09-06,4793660.0
2020-09-13,4538382.0
2020-09-27,4569978.0
2021-02-14,5197587.0
2021-05-23,5311409.0
2021-06-27,4912036.0
2021-08-15,5490586.0
2021-09-12,6277466.0
2021-09-19,8064157.0
2021-09-26,9999678.0
2021-10-03,10746236.0
2021-10-10,11456599.0
2021-10-17,11710324.0
2021-10-24,12399474.0
2021-10-31,12984890.0
2021-11-07,13277524.0
2021-11-14,13023597.0
2021-11-21,12444705.0
2021-11-28,12778270.0
2021-12-05,12647810.0
2021-12-12,11485161.0
2021-12-19,11400621.0
2021-12-26,11688533.0
2022-01-02,10860786.0
2022-01-09,12689607.0
2022-01-16,13161110.0
2022-01-23,22544901.0
2022-01-30,22770105.0
2022-02-06,22742801.0
2022-02-13,23422361.0
2022-02-20,23900250.0
2022-02-27,23465043.0
2022-03-06,23359812.0
2022-03-13,22395844.0
2022-03-20,21927025.0
2022-03-27,22132837.0
2022-04-03,22116927.0
2022-04-10,20690737.0
2022-04-17,20896168.0
2022-04-24,20415194.0
2022-05-01,20595257.0
2022-05-08,20586833.0
2022-05-15,19501833.0
2022-05-22,18856265.0
2022-05-29,12523513.0
2022-06-05,12373478.0
2022-06-12,12813061.0
2022-06-19,12725564.0
2022-06-26,12617491.0
2022-07-03,11824824.0
2022-07-10,11209423.0
2022-07-17,11442395.0
2022-07-24,11592871.0
2022-07-31,10777409.0
2022-08-07,10373616.0
2022-08-14,10335236.0
2022-08-21,9795896.0
2022-08-28,9576524.0
2022-09-04,9209823.0
2022-09-11,8823262.0
2022-09-18,8564963.0
2022-09-25,7540162.0
2022-10-02,7295564.0
2022-10-09,7071223.0
2022-10-16,6965526.0
2022-10-23,7040041.0
2022-10-30,6938383.0
2022-11-06,6707589.0
2022-11-13,6733095.0
2022-11-20,6821357.0
2022-11-27,6720862.0
2022-12-04,6859908.0
2022-12-11,7298837.0
2023-01-08,7762479.0
2023-01-15,7220266.0
2023-01-22,7123857.0
2023-01-29,7098332.0
2023-08-27,9554681.0
2023-09-03,12707835.0
2023-09-10,24140073.0
2023-09-17,26435523.0
2023-09-24,27300114.0
2023-10-01,30962848.0
2023-10-08,29924357.0
2023-10-15,29147038.0
2023-10-22,27762282.0
2023-10-29,27909640.0
2023-11-05,27057558.0
2023-11-12,27055282.0
2023-11-19,27177595.0
2023-11-26,27377408.0
2023-12-03,26198776.0
2023-12-10,24891747.0
2023-12-17,23714874.0
2023-12-24,23532308.0
2023-12-31,21604941.0
2024-01-07,24271599.0
2024-01-14,23421513.0
2024-01-21,23775656.0
2024-01-28,23508913.0
2024-02-04,15209851.0
2024-02-11,14308489.0
2024-02-18,13360412.0
2024-02-25,12389388.0
2024-03-03,11936212.0
2024-03-10,21555263.0
2024-03-17,21569482.0
2024-03-24,21497124.0
2024-03-31,21117630.0
2024-04-07,20992791.0
2024-04-14,24147666.0
2024-04-21,22626095.0
2024-04-28,21557767.0
2024-05-05,22651185.0
2024-05-12,22263685.0
2024-05-19,22741038.0
2024-05-26,21844243.0
2024-06-02,22275721.0
2024-06-09,31278313.0
2024-06-16,22024972.0
2024-06-23,29628053.0
2024-06-30,30754688.0
2024-07-07,28974983.0
2024-07-14,27415632.0
2024-07-21,10507598.0
2024-07-28,27909215.0
2024-08-04,18895358.0
2024-08-11,28155812.0
2024-08-18,18629296.0
2024-08-25,11205225.0
2024-09-01,10642608.0
2024-09-08,10265296.0
2024-09-15,10302327.0
2024-09-22,9931000.0
2024-09-29,10579303.0
2024-10-06,10341381.0
2024-10-13,9920530.0
2024-10-20,9474300.0
2024-10-27,10079705.0
2024-11-03,9212114.0
2024-11-10,8877789.0
2025-02-09,10063691.0
2025-02-16,9175045.0
2025-03-09,8024969.0
2025-03-16,8452867.0
