genre,model,dtw_distance
pop,MovingAverage,315190925.5793065
pop,Naive,404416066.67445725
pop,Prophet,211747770.70858225
pop,SARIMA,209801319.01009527
pop,LightGBM,2122067322.4728217
pop,RandomForest,971743914.6970212
rap_hip_hop,MovingAverage,627415022.4478917
rap_hip_hop,Naive,590055960.096968
rap_hip_hop,Prophet,514854364.8622383
rap_hip_hop,SARIMA,419063639.7661566
rap_hip_hop,LightGBM,1017488735.1008801
rap_hip_hop,RandomForest,208336025.30111718
latin_music,MovingAverage,471500954.7874687
latin_music,Naive,855681811.0543619
latin_music,Prophet,301720169.0141086
latin_music,SARIMA,81056722.29478993
latin_music,LightGBM,245621436.3556784
latin_music,RandomForest,9017778.429825723
alternative,MovingAverage,93826705.05437708
alternative,Naive,121490749.86767133
alternative,Prophet,138561586.32254684
alternative,SARIMA,30235155.34034781
alternative,LightGBM,633856621.7029582
alternative,RandomForest,233438651.2426221
dance,MovingAverage,59263000.74798828
dance,Naive,55234715.570462026
dance,Prophet,53892534.59338006
dance,SARIMA,12199491.69757586
dance,LightGBM,136581746.5034071
dance,RandomForest,84344400.30333383
randb,MovingAverage,273310974.0609662
randb,Naive,272825726.69142026
randb,Prophet,260605115.73497033
randb,SARIMA,98067234.55865377
randb,LightGBM,390392704.4649219
randb,RandomForest,141695944.41219014
rock,MovingAverage,12798188.625549868
rock,Naive,12133860.466032935
rock,Prophet,14999732.170722999
rock,SARIMA,22762108.055998195
rock,LightGBM,296648611.12849647
rock,RandomForest,225860916.61744767
electro,MovingAverage,19404547.8499947
electro,Naive,21719077.148296703
electro,Prophet,38712140.38148427
electro,SARIMA,8456125.853596138
electro,LightGBM,42267129.25656455
electro,RandomForest,18437602.23306915
asian_music,MovingAverage,93823970.59281902
asian_music,Naive,93485792.14502238
asian_music,Prophet,61367056.5156898
asian_music,SARIMA,37876040.1695378
asian_music,LightGBM,152870521.42920256
films_games,MovingAverage,30949360.90295769
films_games,Naive,28475155.174675483
films_games,Prophet,87698268.11799857
films_games,SARIMA,9909677.58365966
films_games,LightGBM,101969056.22571617
films_games,RandomForest,52459706.157142706
